No,Titulo,Autor,Editorial,Idioma,ISBN13
201,Taras Bulba,"Gogol, Nicolas Vasilievich",Ramon Sopena,es,9788430305575
202,Flash,"Duchaussois, Charles",Ultramar,es,9788473861380
203,Historias de un Ruiz-Señor,"Ruiz, Pedro",Planeta,es,9788432041280
204,Casino,"Kirsch, Robert",Martinez Roca,es,9788427006256
205,No emprenyeu el comissari!,"Torrent, Ferran",Lham,ca,9788475021225
206,La isla de fuego,"Hirschfeld, Burt",Círculo de Lectores,es,9788422609438
207,Vall de Uxó,"Peñarroja Torrejon, L.",Escudo de Oro,es,9788437809656
208,España: siglo XIX (1834-1898),"Cronos, Grupo",Anaya,es,9788420741925
209,Liebe auf heissem Sand,"Konsalik, Heinz G.",Heyne,de,9783453001114
210,Sangaree,"Slaughter, Frank G.",Plaza & Janés,es,9788401410789
211,Los siete pecados capitales. Tomo II.,"Sue, Eugenio","Picazo, ediciones",es,
212,La zancada,"Soto, Vicente",Destino,es,
213,Retrato de una bruja,"Castresana, Luis de",Círculo de Lectores,es,9788422604068
214,La ciudadela,"Cronin, A. J.",Plaza & Janés,es,
215,Pavillon de Femmes,"Buck, Pearl S.",STOCK,fr,
216,Así vivían durante la Revolución Francesa,"Espinós, J.; Masiá, P.; Sánchez, D.; Vilar, M.",Anaya,es,9788420748238
217,Retablo jovial,"Casona, Alejandro",Bruño,es,9788421614778
218,Alguien voló sobre el nido del cuco,"Kesey, Ken",Argos,es,9788470174698
219,Du baroque,"Ors, Eugenio d'",Gallimard,fr,
220,El estiércol,"Kuprin, Alejandro","Rodegar, ediciones",es,
221,El mono blanco,"Galsworthy, John",Planeta,es,9788432027154
222,Avere o essere?,"Fromm, Erich",Oscar Mondadori,it,9788804276708
223,Peregrinos y viajeros,"Ekert-Rotholz, Alice",Plaza & Janés,es,
224,Cómo mantenerse en forma,Simon Jennings & Co.,Blume,es,
225,Pelham uno dos tres,"Godey, John",Plaza & Janés,es,9788401460104
226,"Europa, pecado y virtud","Altavilla, Enrico",Plaza & Janés,es,9788401350221
227,El frances y los 7 pecados capitales,"Díaz-Plaja, Fernando",,es,
228,Ojos verdes,"Robards, Karen",B.S.A,es,9788498721492
229,Mémoire d'un croyant,Abbé Pierre,Fayard,fr,9782253145936
230,La sangrienta luna,"Magro, Baltasar",Random House Mondadori,es,
231,Los santos inocentes,"Delibes, Miguel",Seix Barral,es,9788432221521
232,Las ratas,"Delibes, Miguel",Destino,es,9788423307241
233,Le nom de la bete,"Easterman, Daniel",Pocket,fr,9782266071529
234,Confesiones de un espermatozoide,"Maronna, Jorge; Samper, Daniel","Temas de Hoy, ediciones",es,9788484600510
235,Que se mueran los feos,"Iglesia, Juanjo de la","Temas de Hoy, ediciones",es,9788484600589
236,La justicia se equivocó,"Torre, Manuel de la",Heres,es,
237,El ultimo lacayo,"Grimes, Martha",Molino,es,9788427209077
238,Martín Fierro,"Hernández, José",Anaya,es,
239,Diario de un cura rural,"Bernanos, Georges",Círculo de Lectores,es,
240,El caso reace,"Rey, José",DOPESA,es,
241,El buque fantasma,"Marryat, Frederick",Planeta,es,9788432091179
242,La Celestina,"Rojas, Fernando de",Planeta,es,9788475510170
243,Nadie debería morir,"Slaughter, Frank G.",Círculo de Lectores,es,
244,The iron Man,"Hughes, Ted",Faber and Faber,en,9780571141494
245,De la sierra Tarasca,"Amezcua Barrera, Mario",Fimax,es,
246,L'últim roder,"Franco, Josep",Edicions Bromera,ca,9788476600009
247,Climas,"Maurois, Andre",Círculo de Lectores,es,
248,Florecillas de San Francisco,Anónimo,Apostolado de la prensa,es,
249,Las últimas banderas,"Lera, Angel Mª de",Planeta,es,
250,Roble claro,"Yerby, Frank",Círculo de Lectores,es,
251,Alfanhui,"Sanchez Ferlosio, Rafael",Salvat,es,
252,Miguel Angel,"Koch, Heinrich",Salvat,es,9788434581470
253,El Ingenioso Hidalgo Don Quijote de la Mancha,"Cervantes Saavedra, Miguel de",Espasa-Calpe,es,9788467012460
254,La guerra de los botones,"Pergaud, Louis",Bruguera,es,9788402080530
255,La vida secreta de Ana,"Arazo, Mª Angeles",Prometeo,es,9788471990907
256,Torremolinos Gran Hotel,"Palomino, Angel",Alfaguara,es,
257,A tientas y a ciegas,"Portal, Marta",Planeta,es,9788432021664
258,Luces de Hollywood,"McCoy, Horace",Bruguera,es,9788402053367
259,Antología de artículos,"Larra, Mariano José de",Amigos de la Historia,es,9788422503644
260,Reinar después de morir; El esclavo del demonio; El segundo Séneca de España,"Velez de Guevara, Antonio; Mira de Amescua, Antonio; Pérez de Montalbán, Juan",Amigos de la Historia,es,9788422504054
261,El padrino,"Puzo, Mario",Grijalbo,es,
