No,Titulo,Autor
267,Die Frau die sich wandelt Erzählungen,"Buck, Pearl S."
268,El desertor,"Collingwood, Charles"
269,Parejas,"Updike, John"
270,La vida por delante,"Cyrus, Miley"
271,A virtuous woman,"Gibbons, Kate"
272,Monsignore,"Léger, Jack-Alain"
273,Sensacionales cócteles y bebidas para fiestas,"Wilson, Anne"
274,Erosgrafías (prosas poéticas),"Crespo, Patricia"
275,Detrás de las nubes,"Ionescu, Angela C."
276,Fuenteovejuna,"Vega, Lope de"
277,Cárcel de amor,"San Pedro, Diego de"
278,El comedido hidalgo,"Eslava Galán, Juan"
279,El sol y la nieve,"Royo, Rodrigo"
280,Los perros,"Calder, Robert"
281,Detrás de la piedra,"Kurtz, Carmen"
282,Rimas y Leyendas,"Bécquer, Gustavo Adolfo"
283,El palacio,"Erdman, Paul"
284,Les mordus du tennis,Piem
285,Manual de Primers Auxilis,Varios
286,Cómo salir del infierno,"Urdaci, Alfredo"
287,El jardín perfumado,"Nefzaqui, Jeque"
288,Assuán,"Heim, Michael"
289,Don Camilo y los jóvenes de hoy,"Guareschi, Giovanni"
290,Cheyenes 6112,"Grenier, C.; Camus, W."
291,Bienaventurados los miserables,"Castillo, Antonio"
292,Tras la niebla y la nieve,"Innes, Michael"
293,Sinuhé el egipcio,"Waltari, Mika"
294,Desnuda por el mundo,"Chamales, Tom T."
295,Donde se reúnen los muchachos,"Swarthout, Glendon"
296,Barbaridades en clase,"Tirado Zarco, Miguel"
297,Sociología,"Giner, Salvador"
298,Amor en New York,"Arias, Yolanda"
299,La trampa del amor,"Thornton, Elizabeth"
300,Un amor imposible,"Cartland, Barbara"
301,Los asesinos,"Kazan, Elia"
302,Pregúntale a Alicia,"Sparks, Beatrice"
303,Stupid White Men,"Moore, Michael"
304,Mari Catúfols,"Trólec, Isa"
305,El mundo de Ben Lighthart,"Haar, Jaap Ter"
306,Este y oeste,"Buck, Pearl S."
307,La celestina,"Rojas, Fernando de"
308,La chica del columpio,"Adams, Richard"
309,La arboleda perdida,"Alberti, Rafael"
310,Cinco décadas de literatura internacional,"Alcoba, Daniel"
311,Boundaries,"Atkinson, Alix"
312,El árbol de la ciencia de Baroja,"Beser, Sergio"
313,Poesies escollides,"Carner, Josep"
314,El sí de las niñas. La comedia nueva,"Fernández de Moratín, Leandro"
315,Drogas mentales. El desafío de la química a la psicoterapia,"Fernández de Velasco, Miguel Martín"
316,Blanca Olmedo,"Gamero de Medina, Lucila"
317,Siete años de cárcel,"Gerard, Nicole"
318,El cónsul honorario,"Greene, Graham"
319,The firm,"Grisham, John"
320,Fue dicho: no desearás a la mujer de tu prójimo,"Hunter, Evan "
321,El conde Lucanor,"Juan Manuel, Don"
322,Yo soy fulana de tal,"Laiglesia, Álvaro de"
323,Doce lunas de miel,"Linares, Luisa María"
324,Elogi de la paraula i altres assaigs,"Maragall, Joan"
325,La misa azul,"Marquina, Eduardo"
326,Las cuatro plumas,"Mason, A. E. W."
327,La casa de las dunas,"Meersch, M. van der"
328,La mascarada,"Moravia, Alberto"
329,Carne apaleada,"Palou, Inés"
330,"Para sufrir menos, para sufrir mejor","Pederzini, Novello"
331,Los tontos mueren,"Puzo, Mario"
332,Historia de la vida del Buscón llamado don Pablos,"Quevedo, Francisco de "
333,Vidente en rebeldía,"Roig, Antonio"
334,Estudio sobre las libertades. 2ª edición,"Sánchez Ferriz, Remedio"
335,Marcelino pan y vino y otras narraciones,"Sanchez-Silva, Jose Mª"
336,Médicos en peligro,"Slaughter, Frank G."
337,Con el corazón de otro,"Slaughter, Frank G."
338,Sophie's choice,"Styron, William"
339,El perfume,"Süskind, Patrick"
340,A Number of Things,"Thornley, G. C."
341,La senda dorada,"Turnbull, Agnes Sligh"
342,Las aventuras de Tom Sawyer,"Twain, Mark"
343,Guerras privadas,"Ugarte, Pedro"
344,"Garzón, el hombre que veía amanecer","Urbano, Pilar"
345,Libros escogidos (biblioteca de Selecciones),"Varios (Victoria Holt, Francis Clifford, Winston M. Estes, Dr. Charles W. Mayo)"
346,Don Juan de Borbón,Varios
347,Grace Kelly,Varios
348,Bearn o La sala de las muñecas,"Villalonga, Lorenzo"
349,The president's child,"Weldon, Fay"
350,La lápida templaria,"Wilcox, Nicholas"
351,La colina de watership,"Adams, Richard"
352,Las paredes oyen. La verdad sospechosa,"Alarcón, Juan Ruiz de"
353,Vincere il demonio con Gesù,"Amorth, Gabriele; Musolesi, Angela"
354,El rey Arturo y los Caballeros de la Tabla Redonda,"Mañé Garzón, Pablo"
355,Lieschen Radieschen,"Auer, Martin; Scheffler, Axel"
356,Cinco panes de cebada,"Baquedano, Lucia"
357,El cáliz de Carlos V,"Bulnes, Miguel de"
358,Costumari valencià/2. Coses de poble,"Capó, Bernat"
359,Los inocentes de París,"Cesbron, Gilbert"
360,La regenta I,"Clarín, Leopoldo Alas"
361,Tres aventuras de Sherlock Holmes,"Doyle, Arthur Conan"
362,Las iluminaciones del hermano Santiago,"Descola, Jean"
363,Odessa,"Forsyth, Frederick"
364,Ser Joan Fuster,"Fuster, Joan"
365,Cantiga de agüero,"Gómez Ojea, Carmen"
366,La hija de Burger,"Gordimer, Nadine"
367,Tres años después,"Hoyos, Melchor"
368,El último verano,"Hunter, Evan"
369,De un pais lejano,"Ionescu, Angela C."
370,Claves para un día de febrero,"Izquierdo, Antonio"
371,Cincuenta sombras de Grey,"James, E. L."
372,Para lo bueno y para lo malo,"Jordan, Penny"
373,Capitanes intrépidos,"Kipling, R."
374,Eran diez,"Konsalik, Heinz G."
375,Color de Fuego,"Kurtz, Carmen"
376,Carlota y el misterio de los gatos hipnotizados,"Lienas, Gemma"
377,De noche soy indiscreta,"Linares, Luisa María"
378,Fulanita y sus menganos,"Laiglesia, Álvaro de"
379,El último encuentro,"Márai, Sándor"
380,Confieso que he vivido. Memorias,"Neruda, Pablo"
381,Was ist los mit meinem Bruder?,"Rauprich, Nina"
382,Un juicio de piedra. Me parecía un demonio,"Rendell, Ruth"
383,El Cardenal,"Robinson, Henry Morton"
384,El cazador de caballos,"Sandoz, Mari"
385,Los tíos de sicilia,"Sciascia, Leonardo"
386,La comedia de las equivocaciones,"Shakespeare, William"
387,El amo del juego,"Sheldon, Sidney"
388,Nadie debería morir,"Slaughter, Frank G."
389,El dilema del doctor Carter,"Slaughter, Frank G."
390,Costa ardiente,"Smith, Wilbur"
